Fecha,Acción de conversión,Categoría de conversión,Acciones categoría de conversión,Fuente de conversión,Conversiones,Resultados,Conversión por categoría,Acciones categoria de conversion
2025-02-06,Otras expansiones,Engagement,31,Alojado por Google,0.0,Engagement: 31.00,354,354
2025-02-07,Otras expansiones,Engagement,7,Alojado por Google,0.0,Engagement: 7.00,354,354
2025-02-08,Otras expansiones,Engagement,24,Alojado por Google,0.0,Engagement: 24.00,354,354
2025-02-09,Otras expansiones,Engagement,3,Alojado por Google,0.0,Engagement: 3.00,354,354
2025-02-10,Otras expansiones,Engagement,12,Alojado por Google,0.0,Engagement: 12.00,354,354
2025-02-11,Otras expansiones,Engagement,14,Alojado por Google,0.0,Engagement: 14.00,354,354
2025-02-12,Otras expansiones,Engagement,6,Alojado por Google,0.0,Engagement: 6.00,354,354
2025-02-13,Otras expansiones,Engagement,3,Alojado por Google,0.0,Engagement: 3.00,354,354
2025-02-14,Otras expansiones,Engagement,19,Alojado por Google,0.0,Engagement: 19.00,354,354
2025-02-16,Otras expansiones,Engagement,4,Alojado por Google,0.0,Engagement: 4.00,354,354
2025-02-17,Otras expansiones,Engagement,1,Alojado por Google,0.0,Engagement: 1.00,354,354
2025-02-18,Otras expansiones,Engagement,7,Alojado por Google,0.0,Engagement: 7.00,354,354
2025-02-19,Otras expansiones,Engagement,27,Alojado por Google,0.0,Engagement: 27.00,354,354
2025-02-20,Otras expansiones,Engagement,3,Alojado por Google,0.0,Engagement: 3.00,354,354
2025-02-21,Otras expansiones,Engagement,4,Alojado por Google,0.0,Engagement: 4.00,354,354
2025-02-22,Otras expansiones,Engagement,8,Alojado por Google,0.0,Engagement: 8.00,354,354
2025-02-23,Otras expansiones,Engagement,3,Alojado por Google,0.0,Engagement: 3.00,354,354
2025-01-29,Clics de llamada,Contacto,7,Alojado por Google,0.0,Contact: 7.00,38,38
2025-01-31,Clics de llamada,Contacto,1,Alojado por Google,0.0,Contact: 1.00,38,38
2025-02-01,Clics de llamada,Contacto,3,Alojado por Google,0.0,Contact: 3.00,38,38
2025-02-03,Clics de llamada,Contacto,1,Alojado por Google,0.0,Contact: 1.00,38,38
2025-02-04,Clics de llamada,Contacto,1,Alojado por Google,0.0,Contact: 1.00,38,38
2025-02-05,Clics de llamada,Contacto,5,Alojado por Google,0.0,Contact: 5.00,38,38
2025-02-07,Clics de llamada,Contacto,2,Alojado por Google,0.0,Contact: 2.00,38,38
2025-02-10,Clics de llamada,Contacto,1,Alojado por Google,0.0,Contact: 1.00,38,38
2025-02-11,Clics de llamada,Contacto,7,Alojado por Google,0.0,Contact: 7.00,38,38
2025-02-12,Clics de llamada,Contacto,1,Alojado por Google,0.0,Contact: 1.00,38,38
2025-02-14,Clics de llamada,Contacto,2,Alojado por Google,0.0,Contact: 2.00,38,38
2025-02-17,Clics de llamada,Contacto,1,Alojado por Google,0.0,Contact: 1.00,38,38
2025-02-18,Clics de llamada,Contacto,1,Alojado por Google,0.0,Contact: 1.00,38,38
2025-02-19,Clics de llamada,Contacto,2,Alojado por Google,0.0,Contact: 2.00,38,38
2025-02-20,Clics de llamada,Contacto,1,Alojado por Google,0.0,Contact: 1.00,38,38
2025-02-22,Clics de llamada,Contacto,1,Alojado por Google,0.0,Contact: 1.00,38,38
2025-02-23,Clics de llamada,Contacto,1,Alojado por Google,0.0,Contact: 1.00,38,38
2025-02-03,Formulario natación adultos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-04,Formulario natación adultos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-08,Formulario natación adultos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-12,Formulario natación adultos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-14,Formulario natación adultos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-17,Formulario natación adultos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-19,Formulario natación adultos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-21,Formulario natación adultos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-01-29,Formulario matronatación,Envío de formulario,3,Sitio web,3.0,Submit lead form: 3.00,88,88
2025-02-01,Formulario matronatación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-02,Formulario matronatación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-03,Formulario matronatación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-04,Formulario matronatación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-05,Formulario matronatación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-06,Formulario matronatación,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-07,Formulario matronatación,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-08,Formulario matronatación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-09,Formulario matronatación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-10,Formulario matronatación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-11,Formulario matronatación,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-12,Formulario matronatación,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-15,Formulario matronatación,Envío de formulario,3,Sitio web,3.0,Submit lead form: 3.00,88,88
2025-02-17,Formulario matronatación,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-20,Formulario matronatación,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-22,Formulario matronatación,Envío de formulario,3,Sitio web,3.0,Submit lead form: 3.00,88,88
2025-02-23,Formulario matronatación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-01-30,Formulario bebés natación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-09,Formulario bebés natación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-12,Formulario bebés natación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-14,Formulario bebés natación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-19,Formulario bebés natación,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-20,Formulario bebés natación,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-01-29,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-01,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-03,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-04,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-05,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-09,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-10,Formulario chapoteos,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-11,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-12,Formulario chapoteos,Envío de formulario,3,Sitio web,3.0,Submit lead form: 3.00,88,88
2025-02-13,Formulario chapoteos,Envío de formulario,3,Sitio web,3.0,Submit lead form: 3.00,88,88
2025-02-14,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-15,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-16,Formulario chapoteos,Envío de formulario,3,Sitio web,3.0,Submit lead form: 3.00,88,88
2025-02-17,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-18,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-20,Formulario chapoteos,Envío de formulario,4,Sitio web,4.0,Submit lead form: 4.00,88,88
2025-02-21,Formulario chapoteos,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-23,Formulario chapoteos,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-01-29,Formulario natación embarazo,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-01-30,Formulario natación embarazo,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-01,Formulario natación embarazo,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-04,Formulario natación embarazo,Envío de formulario,2,Sitio web,2.0,Submit lead form: 2.00,88,88
2025-02-10,Formulario natación embarazo,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-11,Formulario natación embarazo,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-08,Formulario natación infantil,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-15,Formulario natación infantil,Envío de formulario,3,Sitio web,3.0,Submit lead form: 3.00,88,88
2025-02-16,Formulario natación infantil,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-20,Formulario natación infantil,Envío de formulario,1,Sitio web,1.0,Submit lead form: 1.00,88,88
2025-02-04,Llamadas desde anuncios,Llamada de teléfono,1,Llamadas desde anuncios,1.0,Phone call lead: 1.00,1,1
