Fecha,Campaña,Dispositivo,Conversiones,Impresiones,Coste,Interacciones,Clics,Envío de formulario,Llamada de teléfono,Contacto,Engagement,Obtener dirección,Acciones categoría de conversión,CTR
2025-01-29,Búsqueda | General,ordenador,1.0,8.29,2.45,4,4,1,0,0,0,0,1,0.0
2025-01-31,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.13,0.0,0,0,0,0,0,0,0,0,0.0
2025-01-31,Pmax | Promoción Bonos - RMK,móbil,0.0,1.37,2.92,11,8,0,0,0,3,0,3,0.06
2025-01-31,Pmax | Promoción Bonos - RMK,tablet,0.0,0.06,0.01,0,0,0,0,0,0,0,0,0.0
2025-01-31,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.44,1.25,3,1,0,0,0,0,0,0,0.02
2025-01-31,Pmax | Promoción Nuevo Centro,móbil,0.0,1.43,3.4,17,9,0,0,0,1,2,3,0.06
2025-01-31,Pmax | Promoción Nuevo Centro,tablet,0.0,0.02,0.0,1,0,0,0,0,0,0,0,0.0
2025-01-31,Pmax | Promoción Nuevo Centro,TV,0.0,0.02,0.01,0,0,0,0,0,0,0,0,0.0
2025-02-01,Búsqueda | General,otro,0.0,0.01,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-01,Búsqueda | General,ordenador,0.0,1.47,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-01,Búsqueda | General,móbil,3.0,7.96,20.43,40,40,3,0,0,0,1,4,0.05
2025-02-01,Búsqueda | General,tablet,0.0,0.28,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-01,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2025-02-01,Pmax | Promoción Bonos - MOFU,móbil,1.0,0.48,2.23,12,12,1,0,3,4,0,8,0.25
2025-02-01,Pmax | Promoción Bonos - MOFU,tablet,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2025-02-01,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.21,2.09,1,1,0,0,0,0,0,0,0.05
2025-02-01,Pmax | Promoción Bonos - RMK,móbil,0.0,1.88,6.47,16,9,0,0,0,6,4,10,0.05
2025-02-01,Pmax | Promoción Bonos - RMK,tablet,0.0,0.07,0.02,0,0,0,0,0,0,0,0,0.0
2025-02-01,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.53,2.17,3,1,0,0,0,0,0,0,0.02
2025-02-01,Pmax | Promoción Nuevo Centro,móbil,0.0,3.77,8.1,39,23,0,0,0,5,1,6,0.06
2025-02-01,Pmax | Promoción Nuevo Centro,tablet,0.0,0.08,0.0,1,0,0,0,0,0,0,0,0.0
2025-02-02,Búsqueda | General,ordenador,0.0,4.55,0.24,2,2,0,0,0,0,0,0,0.0
2025-02-02,Búsqueda | General,móbil,1.0,0.01617,45.8,79,79,1,0,0,0,1,2,48.86
2025-02-02,Búsqueda | General,tablet,0.0,0.9,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-02,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.02,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-02,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.24,1.3,7,7,0,0,0,1,1,2,0.29
2025-02-02,Pmax | Promoción Bonos - MOFU,tablet,0.0,0.01,0.17,1,1,0,0,0,55,2,57,1.0
2025-02-02,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.08,0.01,1,0,0,0,0,0,0,0,0.0
2025-02-02,Pmax | Promoción Bonos - RMK,móbil,0.0,1.13,6.6,9,6,0,0,0,0,3,3,0.05
2025-02-02,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.61,0.01,1,0,0,0,0,0,0,0,0.0
2025-02-02,Pmax | Promoción Nuevo Centro,móbil,0.0,4.51,4.15,29,20,0,0,0,0,0,0,0.04
2025-02-02,Pmax | Promoción Nuevo Centro,tablet,0.0,0.03,0.0,1,0,0,0,0,0,0,0,0.0
2025-02-02,Pmax | Promoción Nuevo Centro,TV,0.0,0.01,0.01,0,0,0,0,0,0,0,0,0.0
2025-02-03,Búsqueda | General,ordenador,0.0,3.4,4.22,4,4,0,0,0,0,0,0,0.01
2025-02-03,Búsqueda | General,móbil,3.0,0.012110000000000001,67.8,97,97,3,0,1,7,2,13,80.1
2025-02-03,Búsqueda | General,tablet,0.0,0.36,0.03,1,1,0,0,0,0,0,0,0.03
2025-02-03,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.11,0.56,4,4,0,0,0,0,0,0,0.36
2025-02-03,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.5,0.68,8,7,0,0,0,0,0,0,0.14
2025-02-03,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.08,0.01,1,0,0,0,0,0,0,0,0.0
2025-02-03,Pmax | Promoción Bonos - RMK,móbil,0.0,0.93,1.25,11,3,0,0,0,1,0,1,0.03
2025-02-03,Pmax | Promoción Bonos - RMK,tablet,0.0,0.04,0.0,1,0,0,0,0,0,0,0,0.0
2025-02-03,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.32,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-03,Pmax | Promoción Nuevo Centro,móbil,0.0,2.06,2.94,23,8,0,0,0,1,3,4,0.04
2025-02-03,Pmax | Promoción Nuevo Centro,tablet,0.0,0.07,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-03,Pmax | Promoción Nuevo Centro,TV,0.0,0.01,0.01,1,0,0,0,0,0,0,0,0.0
2025-02-04,Búsqueda | General,ordenador,0.0,2.2,8.24,8,8,0,0,0,0,1,1,0.04
2025-02-04,Búsqueda | General,móbil,5.0,8.1,48.22,72,72,4,1,0,4,9,18,0.09
2025-02-04,Búsqueda | General,tablet,0.0,0.11,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-04,Pmax | Promoción Bonos - MOFU,ordenador,1.0,0.11,5.07,7,7,1,0,0,0,1,2,0.64
2025-02-04,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.49,4.63,15,15,0,0,0,17,0,17,0.31
2025-02-04,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.21,1.29,3,1,0,0,0,0,0,0,0.05
2025-02-04,Pmax | Promoción Bonos - RMK,móbil,0.0,1.27,9.28,19,9,0,0,1,2,0,3,0.07
2025-02-04,Pmax | Promoción Bonos - RMK,tablet,0.0,0.01,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-04,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.23,1.43,4,2,0,0,0,0,0,0,0.09
2025-02-04,Pmax | Promoción Nuevo Centro,móbil,0.0,1.17,5.64,15,10,0,0,0,1,2,3,0.09
2025-02-04,Pmax | Promoción Nuevo Centro,tablet,0.0,0.07,0.03,1,0,0,0,0,0,0,0,0.0
2025-02-04,Pmax | Promoción Nuevo Centro,TV,0.0,0.01,0.0,1,0,0,0,0,0,0,0,0.0
2025-02-05,Búsqueda | General,ordenador,0.0,2.83,4.73,6,6,0,0,0,0,1,1,0.02
2025-02-05,Búsqueda | General,móbil,1.0,0.01679,38.5,74,74,1,0,3,5,3,12,44.07
2025-02-05,Búsqueda | General,tablet,0.0,0.35,0.02,1,1,0,0,0,0,0,0,0.03
2025-02-05,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.1,9.03,5,5,0,0,0,0,3,3,0.5
2025-02-05,Pmax | Promoción Bonos - MOFU,móbil,1.0,0.39,2.31,18,18,1,0,2,10,8,21,0.46
2025-02-05,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.33,0.06,2,0,0,0,0,0,0,0,0.0
2025-02-05,Pmax | Promoción Bonos - RMK,móbil,0.0,5.09,3.93,28,22,0,0,0,0,1,1,0.04
2025-02-05,Pmax | Promoción Bonos - RMK,tablet,0.0,0.13,0.12,3,0,0,0,0,0,0,0,0.0
2025-02-05,Pmax | Promoción Nuevo Centro,ordenador,0.0,1.33,1.94,4,2,0,0,0,0,1,1,0.02
2025-02-05,Pmax | Promoción Nuevo Centro,móbil,0.0,3.13,1.97,31,17,0,0,0,2,1,3,0.05
2025-02-05,Pmax | Promoción Nuevo Centro,tablet,0.0,0.09,0.04,2,1,0,0,0,0,0,0,0.11
2025-02-05,Pmax | Promoción Nuevo Centro,TV,0.0,0.02,0.01,2,0,0,0,0,0,0,0,0.0
2025-02-06,Búsqueda | General,otro,0.0,0.01,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-06,Búsqueda | General,ordenador,0.0,3.82,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-06,Búsqueda | General,móbil,2.0,0.013229999999999999,42.65,72,72,2,0,0,19,5,26,54.42
2025-02-06,Búsqueda | General,tablet,0.0,0.67,0.06,1,1,0,0,0,0,0,0,0.01
2025-02-06,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.06,1.39,3,3,0,0,0,0,0,0,0.5
2025-02-06,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.24,1.0,8,8,0,0,0,1,2,3,0.33
2025-02-06,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.31,3.83,4,3,0,0,0,3,0,3,0.1
2025-02-06,Pmax | Promoción Bonos - RMK,móbil,0.0,4.05,6.37,19,18,0,0,0,6,0,6,0.04
2025-02-06,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.92,0.18,5,0,0,0,0,0,0,0,0.0
2025-02-06,Pmax | Promoción Nuevo Centro,móbil,0.0,6.61,4.24,66,16,0,0,0,2,0,2,0.02
2025-02-06,Pmax | Promoción Nuevo Centro,tablet,0.0,0.09,0.01,2,0,0,0,0,0,0,0,0.0
2025-02-06,Pmax | Promoción Nuevo Centro,TV,0.0,0.05,0.01,2,0,0,0,0,0,0,0,0.0
2025-02-07,Búsqueda | General,ordenador,0.0,0.88,3.6,3,3,0,0,0,0,1,1,0.03
2025-02-07,Búsqueda | General,móbil,2.0,5.16,45.55,62,62,2,0,0,6,1,9,0.12
2025-02-07,Búsqueda | General,tablet,0.0,0.03,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-07,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.09,3.39,3,3,0,0,0,0,0,0,0.33
2025-02-07,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.51,1.0,10,10,0,0,0,0,1,1,0.2
2025-02-07,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.3,0.02,2,0,0,0,0,0,0,0,0.0
2025-02-07,Pmax | Promoción Bonos - RMK,móbil,0.0,0.01363,5.39,68,58,0,0,2,1,0,3,42.55
2025-02-07,Pmax | Promoción Bonos - RMK,tablet,0.0,0.02,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-07,Pmax | Promoción Bonos - RMK,TV,0.0,0.03,0.01,1,0,0,0,0,0,0,0,0.0
2025-02-07,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.46,0.03,1,0,0,0,0,0,0,0,0.0
2025-02-07,Pmax | Promoción Nuevo Centro,móbil,0.0,4.83,5.97,37,14,0,0,0,0,2,2,0.03
2025-02-07,Pmax | Promoción Nuevo Centro,tablet,0.0,0.04,0.0,2,0,0,0,0,0,0,0,0.0
2025-02-07,Pmax | Promoción Nuevo Centro,TV,0.0,0.09,0.05,1,0,0,0,0,0,0,0,0.0
2025-02-08,Búsqueda | General,ordenador,0.0,0.25,2.0,2,2,0,0,0,0,0,0,0.08
2025-02-08,Búsqueda | General,móbil,3.0,5.53,35.51,63,63,3,0,0,16,0,19,0.11
2025-02-08,Búsqueda | General,tablet,0.0,0.04,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-08,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.01,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-08,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.36,0.34,5,5,0,0,0,0,9,9,0.14
2025-02-08,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.04,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-08,Pmax | Promoción Bonos - RMK,móbil,0.0,1.66,7.54,16,11,0,0,0,8,0,8,0.07
2025-02-08,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.09,0.0,1,0,0,0,0,0,0,0,0.0
2025-02-08,Pmax | Promoción Nuevo Centro,móbil,0.0,1.15,6.07,18,6,0,0,0,0,0,0,0.05
2025-02-08,Pmax | Promoción Nuevo Centro,tablet,0.0,0.01,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-08,Pmax | Promoción Nuevo Centro,TV,0.0,0.05,0.07,1,0,0,0,0,0,0,0,0.0
2025-02-09,Búsqueda | General,ordenador,0.0,0.64,2.96,4,4,0,0,0,0,0,0,0.06
2025-02-09,Búsqueda | General,móbil,3.0,9.1,35.62,82,82,3,0,0,1,1,5,0.09
2025-02-09,Búsqueda | General,tablet,0.0,0.07,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-09,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.01,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-09,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.21,0.11,3,3,0,0,0,2,2,4,0.14
2025-02-09,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.18,0.05,1,0,0,0,0,0,0,0,0.0
2025-02-09,Pmax | Promoción Bonos - RMK,móbil,0.0,1.2,2.53,7,6,0,0,0,0,0,0,0.05
2025-02-09,Pmax | Promoción Bonos - RMK,tablet,0.0,0.04,0.02,0,0,0,0,0,0,0,0,0.0
2025-02-09,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.15,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-09,Pmax | Promoción Nuevo Centro,móbil,0.0,1.88,2.38,22,7,0,0,0,0,0,0,0.04
2025-02-09,Pmax | Promoción Nuevo Centro,tablet,0.0,0.05,0.07,0,0,0,0,0,0,0,0,0.0
2025-02-09,Pmax | Promoción Nuevo Centro,TV,0.0,0.08,0.02,3,0,0,0,0,0,0,0,0.0
2025-02-10,Búsqueda | General,ordenador,0.0,0.77,1.46,2,2,0,0,0,0,0,0,0.03
2025-02-10,Búsqueda | General,móbil,2.0,6.8,35.04,71,71,2,0,0,3,5,10,0.1
2025-02-10,Búsqueda | General,tablet,0.0,0.13,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-10,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.14,0.56,5,5,0,0,0,0,1,1,0.36
2025-02-10,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.37,0.36,3,3,0,0,0,1,0,1,0.08
2025-02-10,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.64,0.9,1,1,0,0,0,0,0,0,0.02
2025-02-10,Pmax | Promoción Bonos - RMK,móbil,1.0,3.08,10.57,23,17,1,0,1,8,2,12,0.06
2025-02-10,Pmax | Promoción Bonos - RMK,tablet,0.0,0.04,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-10,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.88,0.18,4,0,0,0,0,0,0,0,0.0
2025-02-10,Pmax | Promoción Nuevo Centro,móbil,1.0,5.0,8.91,32,22,1,0,0,0,0,1,0.04
2025-02-10,Pmax | Promoción Nuevo Centro,tablet,0.0,0.19,0.04,5,0,0,0,0,0,0,0,0.0
2025-02-10,Pmax | Promoción Nuevo Centro,TV,0.0,0.04,0.03,2,0,0,0,0,0,0,0,0.0
2025-02-11,Búsqueda | General,ordenador,0.0,1.53,2.03,4,4,0,0,0,0,0,0,0.03
2025-02-11,Búsqueda | General,móbil,4.0,9.66,48.16,85,85,4,0,7,4,5,20,0.09
2025-02-11,Búsqueda | General,tablet,0.0,0.12,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-11,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.06,0.08,1,1,0,0,0,0,0,0,0.17
2025-02-11,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.51,1.22,7,7,0,0,0,9,2,11,0.14
2025-02-11,Pmax | Promoción Bonos - RMK,ordenador,0.0,1.41,1.84,5,2,0,0,0,0,0,0,0.01
2025-02-11,Pmax | Promoción Bonos - RMK,móbil,0.0,4.91,5.89,29,28,0,0,0,0,1,1,0.06
2025-02-11,Pmax | Promoción Bonos - RMK,tablet,0.0,0.02,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-11,Pmax | Promoción Bonos - RMK,TV,0.0,0.01,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-11,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.26,2.47,4,2,0,0,0,0,0,0,0.08
2025-02-11,Pmax | Promoción Nuevo Centro,móbil,0.0,1.14,4.76,16,10,0,0,0,1,0,1,0.09
2025-02-11,Pmax | Promoción Nuevo Centro,tablet,0.0,0.04,0.01,1,0,0,0,0,0,0,0,0.0
2025-02-11,Pmax | Promoción Nuevo Centro,TV,0.0,0.08,0.05,2,0,0,0,0,0,0,0,0.0
2025-02-12,Búsqueda | General,ordenador,0.0,1.41,1.57,2,2,0,0,0,0,0,0,0.01
2025-02-12,Búsqueda | General,móbil,5.0,7.36,53.13,73,73,5,0,0,5,2,12,0.1
2025-02-12,Búsqueda | General,tablet,0.0,0.06,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-12,Pmax | Promoción Bonos - MOFU,ordenador,1.0,0.1,2.0,4,4,1,0,0,0,0,1,0.4
2025-02-12,Pmax | Promoción Bonos - MOFU,móbil,1.0,0.33,1.53,14,14,1,0,1,0,1,3,0.42
2025-02-12,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-12,Pmax | Promoción Bonos - RMK,móbil,0.0,1.42,3.79,15,11,0,0,0,0,1,1,0.08
2025-02-12,Pmax | Promoción Bonos - RMK,tablet,0.0,0.11,0.76,1,0,0,0,0,0,0,0,0.0
2025-02-12,Pmax | Promoción Bonos - RMK,TV,0.0,0.01,0.01,0,0,0,0,0,0,0,0,0.0
2025-02-12,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.15,0.11,2,0,0,0,0,0,0,0,0.0
2025-02-12,Pmax | Promoción Nuevo Centro,móbil,0.0,1.24,3.93,27,6,0,0,0,1,0,1,0.05
2025-02-12,Pmax | Promoción Nuevo Centro,tablet,0.0,0.04,0.01,0,0,0,0,0,0,0,0,0.0
2025-02-13,Búsqueda | General,ordenador,0.0,0.77,9.51,9,9,0,0,0,3,0,3,0.12
2025-02-13,Búsqueda | General,móbil,2.0,3.31,41.02,59,59,2,0,0,0,0,2,0.18
2025-02-13,Búsqueda | General,tablet,0.0,0.01,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-13,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.06,1.34,3,3,0,0,0,0,1,1,0.5
2025-02-13,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.28,1.03,8,8,0,0,0,0,0,0,0.29
2025-02-13,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.08,4.21,1,1,0,0,0,0,0,0,0.12
2025-02-13,Pmax | Promoción Bonos - RMK,móbil,0.0,0.61,3.71,9,3,0,0,0,0,0,0,0.05
2025-02-13,Pmax | Promoción Bonos - RMK,tablet,0.0,0.01,0.01,1,0,0,0,0,0,0,0,0.0
2025-02-13,Pmax | Promoción Nuevo Centro,ordenador,1.0,0.13,1.71,1,1,1,0,0,0,0,1,0.08
2025-02-13,Pmax | Promoción Nuevo Centro,móbil,0.0,1.12,4.87,19,11,0,0,0,0,0,0,0.1
2025-02-13,Pmax | Promoción Nuevo Centro,TV,0.0,0.01,0.0,1,0,0,0,0,0,0,0,0.0
2025-02-14,Búsqueda | General,ordenador,1.0,0.67,5.28,5,5,1,0,0,0,0,1,0.07
2025-02-14,Búsqueda | General,móbil,0.0,6.96,35.97,57,57,0,0,0,1,0,1,0.08
2025-02-14,Búsqueda | General,tablet,0.0,0.12,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-14,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.03,1.26,3,3,0,0,0,0,0,0,1.0
2025-02-14,Pmax | Promoción Bonos - MOFU,móbil,2.0,0.28,1.15,7,7,2,0,0,18,9,29,0.25
2025-02-14,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.07,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-14,Pmax | Promoción Bonos - RMK,móbil,0.0,0.58,0.23,5,2,0,0,0,0,0,0,0.03
2025-02-14,Pmax | Promoción Bonos - RMK,tablet,0.0,0.02,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-14,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.12,0.03,2,0,0,0,0,0,0,0,0.0
2025-02-14,Pmax | Promoción Nuevo Centro,móbil,0.0,1.17,3.73,13,5,0,0,2,0,0,2,0.04
2025-02-14,Pmax | Promoción Nuevo Centro,tablet,0.0,0.06,0.01,1,0,0,0,0,0,0,0,0.0
2025-02-14,Pmax | Promoción Nuevo Centro,TV,0.0,0.11,0.1,4,0,0,0,0,0,0,0,0.0
2025-02-15,Búsqueda | General,ordenador,0.0,0.27,2.08,1,1,0,0,0,0,0,0,0.04
2025-02-15,Búsqueda | General,móbil,3.0,5.02,44.66,52,52,3,0,0,0,0,3,0.1
2025-02-15,Búsqueda | General,tablet,0.0,0.1,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-15,Pmax | Promoción Bonos - MOFU,ordenador,1.0,0.04,1.73,1,1,1,0,0,0,0,1,0.25
2025-02-15,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.38,0.86,3,3,0,0,0,0,2,2,0.08
2025-02-15,Pmax | Promoción Bonos - RMK,ordenador,0.0,5.48,0.51,12,1,0,0,0,0,0,0,0.0
2025-02-15,Pmax | Promoción Bonos - RMK,móbil,1.0,0.04293,11.17,275,131,1,0,0,0,0,1,30.51
2025-02-15,Pmax | Promoción Bonos - RMK,tablet,0.0,0.52,0.13,10,1,0,0,0,0,0,0,0.02
2025-02-15,Pmax | Promoción Bonos - RMK,TV,0.0,0.09,0.18,3,0,0,0,0,0,0,0,0.0
2025-02-15,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.04,0.01,1,0,0,0,0,0,0,0,0.0
2025-02-15,Pmax | Promoción Nuevo Centro,móbil,2.0,1.59,5.86,19,8,2,0,0,0,0,2,0.05
2025-02-15,Pmax | Promoción Nuevo Centro,tablet,0.0,0.07,0.01,0,0,0,0,0,0,0,0,0.0
2025-02-15,Pmax | Promoción Nuevo Centro,TV,0.0,0.14,0.08,4,0,0,0,0,0,0,0,0.0
2025-02-16,Búsqueda | General,ordenador,0.0,0.7,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-16,Búsqueda | General,móbil,1.0,7.4,41.51,72,72,1,0,0,2,4,7,0.1
2025-02-16,Búsqueda | General,tablet,0.0,0.08,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-16,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.01,1.54,1,1,0,0,0,0,0,0,1.0
2025-02-16,Pmax | Promoción Bonos - MOFU,móbil,3.0,0.23,1.68,10,10,3,0,0,1,2,6,0.43
2025-02-16,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.11,0.0,0,0,0,0,0,0,0,0,0.0
2025-02-16,Pmax | Promoción Bonos - RMK,móbil,0.0,1.11,7.63,8,8,0,0,0,1,0,1,0.07
2025-02-16,Pmax | Promoción Bonos - RMK,tablet,0.0,0.04,0.06,1,1,0,0,0,0,0,0,0.25
2025-02-16,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.17,0.01,0,0,0,0,0,0,0,0,0.0
2025-02-16,Pmax | Promoción Nuevo Centro,móbil,0.0,2.23,6.03,28,12,0,0,0,0,0,0,0.05
2025-02-16,Pmax | Promoción Nuevo Centro,tablet,0.0,0.07,0.01,0,0,0,0,0,0,0,0,0.0
2025-02-16,Pmax | Promoción Nuevo Centro,TV,0.0,0.07,0.03,1,0,0,0,0,0,0,0,0.0
2025-02-17,Búsqueda | General,ordenador,0.0,0.57,9.68,7,7,0,0,0,0,0,0,0.12
2025-02-17,Búsqueda | General,móbil,2.0,4.39,39.17,65,65,2,0,0,0,0,2,0.15
